,Nombre,Domicilio,Localidad,Departamento,Provincia,CP,Latitud,Longitud,Gestion,Pantallas,Butacas
0,Cine Teatro Español,Calle 9 entre 29 Y 30,25 de Mayo,25 de Mayo (Buenos Aires),Buenos Aires,6660,-35.430488,-60.170686,Público municipal,1,500
1,Cine Santa Rosa De Lima,Santa Rosa De Lima 170,30 de Agosto,Trenque Lauquen (Buenos Aires),Buenos Aires,6405,-36.278508,-62.544355,Público municipal,1,410
2,Tu Cine 9 de Julio,Robbio 840,9 de Julio,9 de Julio (Buenos Aires),Buenos Aires,6500,-35.4462648,-60.8857887,Privado comercial,1,165
3,Cinema Adrogue,Hipolito Yrigoyen 13200,Almirante Brown,Almirante Brown (Buenos Aires),Buenos Aires,1846,-34.80811,-58.4024,Privado comercial,10,2505
4,CPM Paseo Adrogue,Segui 699,Almirante Brown,Almirante Brown (Buenos Aires),Buenos Aires,1846,-34.800097,-58.396753,Privado comercial,4,710
5,Cinemark Alto Avellaneda,Guemes 897,Avellaneda,Avellaneda (Buenos Aires),Buenos Aires,1870,-34.677993,-58.36723,Privado comercial,6,1275
6,Cinepolis Avellaneda,Autopista Bs. As. - La Plata Km 6,Avellaneda,Avellaneda (Buenos Aires),Buenos Aires,1870,-34.680206,-58.332777,Privado comercial,16,3485
7,Flix Cinema,Bolivar 416,Azul,Azul (Buenos Aires),Buenos Aires,7300,-36.77836,-59.864783,Privado comercial,1,160
8,Cine Vision,Belgrano 153,Bahia Blanca,Bahia Blanca (Buenos Aires),Buenos Aires,8000,-38.718149,-62.262122,Privado comercial,3,907
9,Cine Visual,Chiclana 452,Bahia Blanca,Bahia Blanca (Buenos Aires),Buenos Aires,8000,-38.722103,-62.261507,Privado comercial,2,501
10,Cinemacenter Bahia Blanca,Av. Sarmiento 2153,Bahia Blanca,Bahia Blanca (Buenos Aires),Buenos Aires,8000,-38.698777,-62.244043,Privado comercial,7,1501
11,Cine Paris 2D Balcarce,Calle 18 684,Balcarce,Balcarce (Buenos Aires),Buenos Aires,7620,-37.848567,-58.256225,Privado comercial,1,272
12,Centro Cultural Atilio Marinelli,Otamendi y Av. San Martin,Benito Juarez,Benito Juarez (Buenos Aires),Buenos Aires,7020,-37.682663,-59.816052,Público municipal,1,350
13,Cine Avenida,Av. San Martin 642,San Carlos de Bolivar,Bolivar (Buenos Aires),Buenos Aires,6550,-36.231224,-61.113367,Privado comercial,1,256
14,Cinemark Soleil,Bernardo De Yrigoyen 2647,San Isidro,San Isidro (Buenos Aires),Buenos Aires,1609,-34.490982,-58.58856,Privado comercial,6,1895
15,Centro Cultural Florencio Constantino,Belgrano 1260,Bragado,Bragado (Buenos Aires),Buenos Aires,6640,-35.11502,-60.489391,Público municipal,1,750
16,Cine Teatro Paramount,Tres De Febrero 2561,Tres de Febrero,Tres de Febrero (Buenos Aires),Buenos Aires,1678,-34.605396,-58.563977,Público municipal,2,645
17,Cine Teatro Avenida,Av. 25 De Mayo 540,Castelli,Castelli (Buenos Aires),Buenos Aires,7114,-36.0899001,-57.8030217,Público municipal,1,254
18,Cine Teatro Español,Pueyrredón 29,Chacabuco,Chacabuco (Buenos Aires),Buenos Aires,6740,-34.641214,-60.471635,Privado comercial,1,700
19,Teatro Italiano Espacio INCAA,Av. Alsina 29,Chacabuco,Chacabuco (Buenos Aires),Buenos Aires,6740,-34.6430186,-60.4700374,Público municipal,1,289
20,Cine Español Chivilcoy,Av. Soarez 86,Chivilcoy,Chivilcoy (Buenos Aires),Buenos Aires,6620,-34.90193,-60.015456,Privado comercial,1,500
21,Metropol,Av. Ceballos 29,Chivilcoy,Chivilcoy (Buenos Aires),Buenos Aires,6620,-34.895844,-60.020493,Privado comercial,1,500
22,Tu Cine Chivilcoy,Pellegrini 225,Chivilcoy,Chivilcoy (Buenos Aires),Buenos Aires,6620,-34.8931179,-60.0160649,Privado comercial,2,348
23,Nuevo Ciudadela,Av. Maipu 3927,Tres de Febrero,Tres de Febrero (Buenos Aires),Buenos Aires,1702,-34.639772,-58.54124,Privado comercial,2,350
24,Cine Teatro Colon,Calle 48 Y 19,Colon,Colon (Buenos Aires),Buenos Aires,2720,-33.906237,-61.11381,Privado comercial,1,270
25,Cine Teatro Helios,Boulevard San Martin 3076,Moron,Moron (Buenos Aires),Buenos Aires,1684,-34.603921,-58.592904,Privado comercial,1,349
26,Canning Multiplex,Formosa 653,Ezeiza,Ezeiza (Buenos Aires),Buenos Aires,1804,-34.856114,-58.504664,Privado comercial,6,1132
27,Cinemacenter Florencio Varela,Av. San Martin 554,Florencio Varela,Florencio Varela (Buenos Aires),Buenos Aires,1888,-34.779714,-58.279417,Privado comercial,6,1327
28,Cine Teatro Español,Larrea 688,General Belgrano,General Belgrano (Buenos Aires),Buenos Aires,7223,-35.767143,-58.495995,Público municipal,1,378
29,Espacio INCAA Gral Madariaga,Dr. Carlos Madariaga 499,General Juan Madariaga,General Juan Madariaga (Buenos Aires),Buenos Aires,7163,-36.998699,-57.134121,Público municipal,1,230
30,CPM Catan,Ruta 3 Km 29 Bj Manuel De Rosas 14457,La Matanza,La Matanza (Buenos Aires),Buenos Aires,1759,-34.761032,-58.615582,Privado comercial,6,1114
31,Showcase Cinemas Haedo,Dr. Luis Guemes 393,Moron,Moron (Buenos Aires),Buenos Aires,1706,-34.644068,-58.595643,Privado comercial,14,3890
32,Tu Cine Junin,Jorge Newbery 263,Junin,Junin (Buenos Aires),Buenos Aires,6000,-34.583546,-60.945387,Privado comercial,3,453
33,Cine Municipal Ecoselect,19 Y 51,La Plata,La Plata (Buenos Aires),Buenos Aires,1900,-34.926546,-57.961577,Público municipal,1,60
34,Cine Municipal Select,Calle 50 entre 6 y 7,La Plata,La Plata (Buenos Aires),Buenos Aires,1900,-34.9142398,-57.9492262,Público municipal,1,174
35,Cinema 8,Calle 8 981,La Plata,La Plata (Buenos Aires),Buenos Aires,1900,-34.9169959,-57.9493148,Privado comercial,3,1084
36,Cinema City,Calle 50 723,La Plata,La Plata (Buenos Aires),Buenos Aires,1900,-34.9170872,-57.9524285,Privado comercial,3,640
37,Cinema Paradiso,Calle 46 780,La Plata,La Plata (Buenos Aires),Buenos Aires,1900,-34.915734,-57.956742,Privado comercial,4,603
38,Cinema Rocha,Calle 49 621,La Plata,La Plata (Buenos Aires),Buenos Aires,1900,-34.91472,-57.950898,Privado comercial,6,1613
39,Cinema San Martin,Calle 7 923,La Plata,La Plata (Buenos Aires),Buenos Aires,1900,-34.9153209,-57.9492754,Privado comercial,7,2184
40,Coto Lanus,Warnes 2450,Lanus,Lanus (Buenos Aires),Buenos Aires,1824,-34.690192,-58.419057,Privado comercial,8,2037
41,San Martin,San Martin 593,Las Flores,Las Flores (Buenos Aires),Buenos Aires,7200,-36.015599,-59.098583,Privado comercial,1,0
42,Las Toninas,Calle 7 1564 Entre 36 Y 38,Las Toninas,La Costa (Buenos Aires),Buenos Aires,7106,-36.494604,-56.696022,Privado comercial,1,245
43,Cine Club Jorge Newbery,Av. Massey 839,Lincoln,Lincoln (Buenos Aires),Buenos Aires,6070,-34.866042,-61.527907,Privado comercial,1,483
44,Cine Teatro Italiano,9 De Julio 142,Lobos,Lobos (Buenos Aires),Buenos Aires,7240,-35.1848326,-59.0958551,Público municipal,1,350
45,Cinemark Malvinas Argentinas,Av. Illia 3770,Malvinas Argentinas,Malvinas Argentinas (Buenos Aires),Buenos Aires,1613,-34.530697,-58.703113,Privado comercial,10,2414
46,Leonardo Favio,Mitre 841,Los Toldos,General Viamonte (Buenos Aires),Buenos Aires,6015,-35.000252,-61.037525,Privado comercial,1,330
47,Cinepolis Luján,R. Payró y Mario Bravo,Lujan,Lujan (Buenos Aires),Buenos Aires,6702,-34.546153,-59.109463,Privado comercial,6,1182
48,Cinema Rosso,Lavalle 410,Lujan,Lujan (Buenos Aires),Buenos Aires,6700,-34.564152,-59.115852,Privado comercial,2,197
49,Cine Teatro Sociedad Italiana,Rivadavia 555,Maipu,Maipu (Buenos Aires),Buenos Aires,7160,-36.861231,-57.883152,Privado comercial,1,450
50,Atlantica California,Hipolito Irigoyen 18,Mar de Ajo - San Bernardo,La Costa (Buenos Aires),Buenos Aires,7112,-36.726598,-56.675313,Privado comercial,2,551
51,Ambassador,Cordoba 1673,Mar del Plata,General Pueyrredon (Buenos Aires),Buenos Aires,7600,-37.999077,-57.546914,Privado comercial,4,947
52,Cine Cristal,Entre Rios 1783,Mar del Plata,General Pueyrredon (Buenos Aires),Buenos Aires,7600,-38.002209,-57.543388,Privado comercial,2,40
53,Cines Paseo Aldrey,Alberti 1610,Mar del Plata,General Pueyrredon (Buenos Aires),Buenos Aires,7600,-38.01162,-57.542939,Privado comercial,6,1121
54,Herodes,Belgrano 2327,Mar del Plata,General Pueyrredon (Buenos Aires),Buenos Aires,7600,-38.002416,-57.545386,Privado comercial,2,120
55,Paseo Diagonal,Belgrano Y Diag. Pueyrredon 3058,Mar del Plata,General Pueyrredon (Buenos Aires),Buenos Aires,7600,-37.99894,-57.552262,Privado comercial,4,687
56,T.E.Y.C.I. Cinema,Rivadavia 3050,Mar del Plata,General Pueyrredon (Buenos Aires),Buenos Aires,7600,-37.997965,-57.552019,Privado comercial,2,487
57,Teatro Auditorium,Bv. Maritimo 2280,Mar del Plata,General Pueyrredon (Buenos Aires),Buenos Aires,7600,-38.006718,-57.545561,Público provincial,3,1563
58,Hoyts Unicenter,Parana 3745,San Isidro,San Isidro (Buenos Aires),Buenos Aires,1640,-34.508921,-58.523471,Privado comercial,16,3427
59,Cine Mercedes,Calle 20 728,Mercedes,Mercedes (Buenos Aires),Buenos Aires,6600,-34.652278,-59.433057,Privado comercial,1,190
60,Cine Atlantico,Calle 21 1564,Miramar,General Alvarado (Buenos Aires),Buenos Aires,7607,-38.268129,-57.841066,Privado comercial,1,902
61,Hoyts Moreno,Av. Victorica 1128,Moreno,Moreno (Buenos Aires),Buenos Aires,1744,-34.635647,-58.791968,Privado comercial,10,2476
62,Hoyts Moron,Juan Manuel De Rosas 658,Moron,Moron (Buenos Aires),Buenos Aires,1744,-34.634968,-58.629305,Privado comercial,8,1865
63,T. Municipalidad G. De La Ferrere,Alte. Brown 990,Moron,Moron (Buenos Aires),Buenos Aires,1708,-34.651188,-58.621931,Público municipal,1,133
64,Lumiton,Sargento Cabral 2354,Vicente Lopez,Vicente Lopez (Buenos Aires),Buenos Aires,1605,-34.527919,-58.515934,Público municipal,1,30
65,Showcase Norte,E. Echeverria 3750,Vicente Lopez,Vicente Lopez (Buenos Aires),Buenos Aires,1605,-34.514341,-58.522151,Privado comercial,17,4214
66,Cine Ocean,Calle 83 350,Necochea - Quequen,Necochea (Buenos Aires),Buenos Aires,7630,-38.579616,-58.731164,Privado comercial,3,1620
67,Cine Paris,General Paz 2720,Olavarria,Olavarria (Buenos Aires),Buenos Aires,7400,-36.894039,-60.323944,Privado comercial,2,383
68,Flix Olavarria,Rivadavia 4730,Olavarria,Olavarria (Buenos Aires),Buenos Aires,7400,-36.880816,-60.304409,Privado comercial,2,660
69,Centro Cultural York,Juan Bautista Alberdi 895,Vicente Lopez,Vicente Lopez (Buenos Aires),Buenos Aires,1636,-34.507715,-58.484962,Público municipal,1,280
70,Cinema Pergamino,Av. Mayo y San Nicolas,Pergamino,Pergamino (Buenos Aires),Buenos Aires,2700,-33.89284,-60.572327,Privado comercial,2,556
71,"Cine Teatro Municipal Pila Padre Adolfo Anastasio""""",Calle 6 y Calle 19,Pila,Pila (Buenos Aires),Buenos Aires,7116,-36.000073,-58.145664,Público municipal,1,178
72,Cinepolis Pilar,Panamericana Ac. Norte Km 50,Pilar,Pilar (Buenos Aires),Buenos Aires,1629,-34.455906,-58.908329,Privado comercial,9,2675
73,Palmas Multiplex,Las Magnolias 754,Pilar,Pilar (Buenos Aires),Buenos Aires,1629,-34.447067,-58.867098,Privado comercial,9,1407
74,Atlantica Oasis,Av. Shaw 644,Pinamar,Pinamar (Buenos Aires),Buenos Aires,7167,-38.722103,-62.261507,Privado comercial,2,744
75,Cinema Colon,Rivadavia 459,Punta Alta,Coronel de Marina L. Rosales (Buenos Aires),Buenos Aires,8109,-38.880196,-62.076721,Privado comercial,1,390
76,Cine Teatro Municipalidad De Quilmes,Mitre 721,Quilmes,Quilmes (Buenos Aires),Buenos Aires,1878,-34.722566,-58.253201,Público municipal,1,415
77,Hoyts General Cinema Quilmes,Av. Calchaqui 3950,Quilmes,Quilmes (Buenos Aires),Buenos Aires,1879,-34.759703,-58.278794,Privado comercial,12,2580
78,Showcase Quilmes,Olavarria 180,Quilmes,Quilmes (Buenos Aires),Buenos Aires,1878,-34.725459,-58.255294,Privado comercial,8,1730
79,Atlas Nordelta,Av. De Los Lagos 7010,Tigre,Tigre (Buenos Aires),Buenos Aires,1617,-34.39934,-58.653797,Privado comercial,5,969
80,Cine Frances,Bartolomé Mitre 328,Rojas,Rojas (Buenos Aires),Buenos Aires,2705,-34.198146,-60.732001,Privado comercial,1,230
81,Cine Teatro Soc. Italiana,Pueyrredón 77,Salliquelo,Salliquelo (Buenos Aires),Buenos Aires,6339,-36.7509085,-62.9586057,Privado comercial,1,420
82,Cervantes,Alvear 65,Salto,Salto (Buenos Aires),Buenos Aires,2741,-34.292986,-60.255264,Privado comercial,1,220
83,Cinepolis Merlo,Av. Juan Domingo Peron 24056,Merlo,Merlo (Buenos Aires),Buenos Aires,1718,-34.66661,-58.702902,Privado comercial,6,1315
84,Atlantica Arenas,Chiozza 1776,Mar de Ajo - San Bernardo,La Costa (Buenos Aires),Buenos Aires,7111,-36.699278,-56.677434,Privado comercial,3,1358
85,Gran Tuyu,Av. San Martin 181,San Clemente del Tuyu,La Costa (Buenos Aires),Buenos Aires,7105,-36.356863,-56.721892,Privado comercial,1,450
86,Cinemark San Justo,Av. Juan Manuel De Rosas 3990,La Matanza,La Matanza (Buenos Aires),Buenos Aires,1754,-34.685116,-58.558255,Privado comercial,6,1843
87,La Palma,Belgrano 961,San Pedro,San Pedro (Buenos Aires),Buenos Aires,2930,-33.678826,-59.668011,Privado comercial,2,471
88,Atlantica Yanel,Calle 32 372,Santa Teresita - Mar del Tuyu,La Costa (Buenos Aires),Buenos Aires,7107,-36.534911,-56.694027,Privado comercial,2,635
89,Atlantico,Calle 41 258,Santa Teresita - Mar del Tuyu,La Costa (Buenos Aires),Buenos Aires,7107,-36.54343,-56.700912,Privado comercial,1,1107
90,Cinemacenter Tandil,Panama 351,Tandil,Tandil (Buenos Aires),Buenos Aires,7000,-37.324258,-59.114758,Privado comercial,4,758
91,Espacio INCAA Unicen,Yrigoyen 662,Tandil,Tandil (Buenos Aires),Buenos Aires,7000,-37.3261317,-59.1385772,Público nacional,1,430
92,Centro Cultural Municipal Dr. Ricardo Romera,Av. 9 De Julio Y Av. San Martin,Tapalque,Tapalque (Buenos Aires),Buenos Aires,7303,-36.356939,-60.025212,Público municipal,1,264
93,Hoyts Temperley,Av. Hipolito Irigoyen 10699,Lomas de Zamora,Lomas de Zamora (Buenos Aires),Buenos Aires,1834,-34.781692,-58.406675,Privado comercial,9,2382
94,Cinemark Tortuguitas,Constituyentes Y Au. Panamericana Km 36.5,Malvinas Argentinas,Malvinas Argentinas (Buenos Aires),Buenos Aires,1667,-34.453372,-58.728969,Privado comercial,8,1905
95,Cine Barrio Alegre,9 De Julio 133,Trenque Lauquen,Trenque Lauquen (Buenos Aires),Buenos Aires,6400,-35.972252,-62.73485,Privado comercial,1,1200
96,Cine Teatro Español,Monteverde 257,Tres Lomas,Tres Lomas (Buenos Aires),Buenos Aires,6409,-36.457207,-62.862913,Privado comercial,1,300
97,Cine Teatro Jose Hernandez,Balcarce 2973,General San Martin,General San Martin (Buenos Aires),Buenos Aires,1653,-34.550658,-58.55834,Privado comercial,1,660
98,Victor Show Cinemas,El Payador 5539,Tres de Febrero,Tres de Febrero (Buenos Aires),Buenos Aires,1682,-34.58918,-58.573161,Privado comercial,3,413
99,Atlantic,Paseo 105 Entre 3 Y 2,Villa Gesell,Villa Gesell (Buenos Aires),Buenos Aires,7165,-37.25143,-56.976791,Privado comercial,1,400
100,Cine Teatro Coliseo,19 De Marzo 314,Zarate,Zarate (Buenos Aires),Buenos Aires,2800,-34.097529,-59.022145,Privado comercial,1,300
101,Cinemacenter Catamarca,Av. Guemes 850,San Fernando del Valle de Catamarca,Capital (Catamarca),Catamarca,4700,-28.475867,-65.774581,Privado comercial,5,914
102,Cines Del Solar,Intendente Mamerto Medina 220,San Fernando del Valle de Catamarca,Capital (Catamarca),Catamarca,4700,-28.464737,-65.800675,Privado comercial,5,743
103,Cinemacenter Avalos,Av. Avalos y Av. Lavalle,Resistencia,San Fernando (Chaco),Chaco,3500,-27.438214,-58.987038,Privado comercial,5,792
104,Cinemacenter Resistencia,Av. Dr. Sabin y Av. Nicolas Avellaneda,Resistencia,San Fernando (Chaco),Chaco,3500,-27.438747,-58.987285,Privado comercial,3,690
105,Los Cines De La Costa - Sarmiento,Av. Sarmiento 2600,Resistencia,San Fernando (Chaco),Chaco,3500,-27.430995,-58.962672,Privado comercial,5,820
106,Cine Coliseo,San Martin 570,Comodoro Rivadavia,Escalante (Chubut),Chubut,9000,-45.861057,-67.482581,Privado comercial,1,380
107,Cine Teatro Español,San Martin 668,Comodoro Rivadavia,Escalante (Chubut),Chubut,9000,-45.861071,-67.484072,Privado comercial,1,463
108,Auditorio Municipal De Esquel,Belgrano 330,Esquel,Futaleufu (Chubut),Chubut,9200,-42.914332,-71.33242,Público municipal,1,243
109,Sociedad Italiana - Auditorium Puerto Madryn,28 De Julio 129,Puerto Madryn,Biedma (Chubut),Chubut,9120,-42.766251,-65.035369,Privado comercial,2,486
110,Centro Cultural Jose Hernandez,Dr. Jorge Galina S/N y Mitre,Rawson,Rawson (Chubut),Chubut,9103,-43.299858,-65.099487,Privado comercial,1,400
111,Coliseo,Belgrano 375,Trelew,Rawson (Chubut),Chubut,9100,-43.252784,-65.307667,Privado comercial,1,380
112,Espacio INCAA Km 1460,9 De Julio 655,Trelew,Rawson (Chubut),Chubut,9100,-43.253461,-65.316231,Público municipal,1,100
113,Salon Municipal de Cine,28 De Julio 414,Trevelin,Futaleufu (Chubut),Chubut,9203,-43.079516,-71.463135,Público municipal,1,150
114,Angeba,Lavalle 750,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1047,-34.6024845,-58.3773438,Privado comercial,4,100
115,Arte Multiplex,Av. Cabildo 2829,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1428,-34.55597,-58.461705,Privado comercial,5,792
116,Atlas Caballito,Av. Rivadavia 5071,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1424,-34.618581,-58.437367,Privado comercial,9,1769
117,Atlas La Rural,Juncal 4431,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1425,-34.5776958,-58.4211033,Privado comercial,1,130
118,Atlas Liniers,Ramón L. Falcón 7115,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1408,-34.6401748,-58.5266769,Privado comercial,4,460
119,Atlas Paseo Alcorta,Jeronimo Salguero 3172,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1425,-34.575385,-58.403997,Privado comercial,3,432
120,Atlas Patio Bullrich,Posadas 1245,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1001,-34.588095,-58.383485,Privado comercial,3,585
121,Atlas Rivera Indarte,Rivera Indarte 44,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1406,-34.629368,-58.462523,Privado comercial,5,1263
122,Belgrano Multiplex,Vuelta De Obligado 2238,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1428,-34.560503,-58.456499,Privado comercial,8,2314
123,Centro Cultural San Martín Sala 1 y 2,Sarmiento 1551,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1042,-34.605014,-58.3887091,Público provincial,2,192
124,Cine Amigos Del Bellas Artes,Av. Pte. Figueroa Alcorta 2280,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1425,-34.583511,-58.392686,Privado comercial,1,235
125,Cine Box,Laprida 1423,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1425,-34.592435,-58.405847,Privado comercial,2,40
126,Cine del Recuerdo,Av. Juan de Garay 1267,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1153,-34.626836,-58.383669,Privado comercial,1,85
127,Cine Popular HQ,Moreno 2654,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1094,-34.6135315,-58.4036714,Privado comercial,1,158
128,Cine San Francisco,Av. Gral. Paz 10652,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1408,-34.6399054,-58.5288246,Privado comercial,1,40
129,Cinema Devoto,Jose Pedro Varela 4866,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1417,-34.611658,-58.516928,Privado comercial,8,1908
130,Cinemark Caballito,Av. La Plata 96,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1184,-34.616128,-58.428999,Privado comercial,6,898
131,Cinemark Palermo,Beruti 3399,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1425,-34.586565,-58.410421,Privado comercial,10,1738
132,Cinemark Puerto Madero,Av. Alicia M De Justo 1920,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1107,-34.622186,-58.365288,Privado comercial,8,1379
133,Cinepolis Recoleta,Vicente Lopez 2050,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1128,-34.58922,-58.392976,Privado comercial,10,1776
134,Complejo Cultural 25 de Mayo,Av. Triunvirato 4444,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1431,-34.5763369,-58.4836525,Público provincial,1,500
135,Eden - Sala 2,Santa Fe 1825,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1123,-34.595832,-58.393655,Privado comercial,1,30
136,El Páramo Cultural,Carlos Calvo 3974,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1230,-34.6250548,-58.4215037,Privado comercial,1,60
137,Gaumont,Av. Rivadavia 1635,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1033,-34.60898,-58.38964,Público nacional,3,1167
138,Hoyts Abasto,Aguero 665,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1193,-34.603485,-58.410853,Privado comercial,12,3021
139,Hoyts Panamericana,Melian 4880,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1430,-34.546344,-58.488435,Privado comercial,10,1918
140,Leopoldo Lugones,Av. Corrientes 1530,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1042,-34.604258,-58.388392,Público provincial,1,212
141,Lorca,Av. Corrientes 1428,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1042,-34.604091,-58.38682,Privado comercial,2,452
142,Malba,Av. Figuero Alcorta 3415,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1425,-34.577273,-58.403747,Privado comercial,1,224
143,Monumental Lavalle,Lavalle 780,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1047,-34.602358,-58.377801,Privado comercial,7,1270
144,Nueva Victoria,Hipolito Yrigoyen 965,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1086,-34.6094911,-58.3800409,Privado comercial,2,115
145,Popular Ecuador,Ecuador 54,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1214,-34.6097095,-58.4090281,Privado comercial,1,147
146,Raúl González Tuñón,Av. Corrientes 1543,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1042,-34.6040092,-58.3885434,Privado comercial,1,94
147,Showcase Cinemas Belgrano,Monroe 1655,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1428,-34.553878,-58.452868,Privado comercial,10,2082
