Nombre,Domicilio,Localidad,Departamento,Provincia,Otro Domicilio,Piso,CP,Teléfono,Mail,Web,Información adicional,Latitud,Longitud,Actividad Específica,Denominación Específica,Fuente,Sector,Categoría,Seleccione el tipo de gestión,Cantidad de pantallas,Cantidad de butacas,Referente
"Showcase Quilmes","Olavarria 180","Quilmes","Quilmes (Buenos Aires)","Buenos Aires","","","1878","s/d","s/d","https://www.todoshowcase.com/","","-34.72545900000000000000","-58.25529400000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","8","1730",""
"Atlas Nordelta","Av. De Los Lagos 7010","Tigre","Tigre (Buenos Aires)","Buenos Aires","","","1617","s/d","s/d","http://www.nordeltacc.com.ar/","","-34.39934000000000000000","-58.65379700000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","5","969",""
"Cine Frances","Bartolomé Mitre 328","Rojas","Rojas (Buenos Aires)","Buenos Aires","","","2705","s/d","s/d","https://www.facebook.com/CineFrancesRojas/","","-34.19814600000000000000","-60.73200100000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","230",""
"Cine Teatro Soc. Italiana","Pueyrredón 77","Salliquelo","Salliquelo (Buenos Aires)","Buenos Aires","","","6339","s/d","s/d","Facebook: Cine Salliqueló - Sociedad Italiana","","-36.75090850000000000000","-62.95860570000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","420",""
"Cervantes","Alvear 65","Salto","Salto (Buenos Aires)","Buenos Aires","","","2741","s/d","s/d","","","-34.29298600000000000000","-60.25526400000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","220",""
"Cinepolis Merlo","Av. Juan Domingo Peron 24056","Merlo","Merlo (Buenos Aires)","Buenos Aires","","","1718","s/d","s/d","https://www.villagecines.com/","","-34.66661000000000000000","-58.70290200000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","6","1315",""
"Atlantica Arenas","Chiozza 1776","Mar de Ajo - San Bernardo","La Costa (Buenos Aires)","Buenos Aires","","","7111","s/d","s/d","","","-36.69927800000000000000","-56.67743400000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","3","1358",""
"Gran Tuyu","Av. San Martin 181","San Clemente del Tuyu","La Costa (Buenos Aires)","Buenos Aires","","","7105","s/d","s/d","https://www.facebook.com/cine.tuyu/","","-36.35686300000000000000","-56.72189200000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","450",""
"Cinemark San Justo","Av. Juan Manuel De Rosas 3990","La Matanza","La Matanza (Buenos Aires)","Buenos Aires","","","1754","s/d","s/d","https://www.cinemarkhoyts.com.ar","","-34.68511600000000000000","-58.55825500000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","6","1843",""
"La Palma","Belgrano 961","San Pedro","San Pedro (Buenos Aires)","Buenos Aires","","","2930","s/d","s/d","https://www.facebook.com/MEC.LaPalma/","","-33.67882600000000000000","-59.66801100000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","2","471",""
"Atlantica Yanel","Calle 32 372","Santa Teresita - Mar del Tuyu","La Costa (Buenos Aires)","Buenos Aires","","","7107","s/d","s/d","","","-36.53491100000000000000","-56.69402700000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","2","635",""
"Atlantico","Calle 41 258","Santa Teresita - Mar del Tuyu","La Costa (Buenos Aires)","Buenos Aires","","","7107","s/d","s/d","","","-36.54343000000000000000","-56.70091200000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","1107",""
"Cinemacenter Tandil","Panama 351","Tandil","Tandil (Buenos Aires)","Buenos Aires","","","7000","s/d","s/d","http://www.cinemacenter.com.ar/","","-37.32425800000000000000","-59.11475800000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","4","758",""
"Espacio INCAA Unicen","Yrigoyen 662","Tandil","Tandil (Buenos Aires)","Buenos Aires","","","7000","s/d","s/d","","Espacio INCAA","-37.32613170000000000000","-59.13857720000000000000","","","INCAA / SInCA","Cine","Salas de cine","Público nacional","1","430",""
"Centro Cultural Municipal Dr. Ricardo Romera","Av. 9 De Julio Y Av. San Martin","Tapalque","Tapalque (Buenos Aires)","Buenos Aires","","","7303","s/d","s/d","","Espacio INCAA","-36.35693900000000000000","-60.02521200000000000000","","","INCAA / SInCA","Cine","Salas de cine","Público municipal","1","264",""
"Hoyts Temperley","Av. Hipolito Irigoyen 10699","Lomas de Zamora","Lomas de Zamora (Buenos Aires)","Buenos Aires","","","1834","s/d","s/d","https://www.cinemarkhoyts.com.ar/","","-34.78169200000000000000","-58.40667500000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","9","2382",""
"Cinemark Tortuguitas","Constituyentes Y Au. Panamericana Km 36.5","Malvinas Argentinas","Malvinas Argentinas (Buenos Aires)","Buenos Aires","","","1667","s/d","s/d","https://www.cinemarkhoyts.com.ar","","-34.45337200000000000000","-58.72896900000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","8","1905",""
"Cine Barrio Alegre","9 De Julio 133","Trenque Lauquen","Trenque Lauquen (Buenos Aires)","Buenos Aires","","Planta Baja","6400","s/d","s/d","https://www.facebook.com/cinebarrio3d/","Espacio INCAA","-35.97225200000000000000","-62.73485000000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","1200",""
"Cine Teatro Español","Monteverde 257","Tres Lomas","Tres Lomas (Buenos Aires)","Buenos Aires","","","6409","s/d","s/d","https://www.facebook.com/cinetreslomas/","Espacio INCAA","-36.45720700000000000000","-62.86291300000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","300",""
"Cine Teatro Jose Hernandez","Balcarce 2973","General San Martin","General San Martin (Buenos Aires)","Buenos Aires","","","1653","s/d","s/d","Facebook: Cine - Teatro José Hernández","","-34.55065800000000000000","-58.55834000000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","660",""
"Victor Show Cinemas","El Payador 5539","Tres de Febrero","Tres de Febrero (Buenos Aires)","Buenos Aires","","","1682","s/d","s/d","https://www.facebook.com/VictorShowCinemas/","","-34.58918000000000000000","-58.57316100000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","3","413",""
"Atlantic","Paseo 105 Entre 3 Y 2","Villa Gesell","Villa Gesell (Buenos Aires)","Buenos Aires","","","7165","s/d","s/d","http://cineatlantic.com.ar/","","-37.25143000000000000000","-56.97679100000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","400",""
"Cine Teatro Coliseo","19 De Marzo 314","Zarate","Zarate (Buenos Aires)","Buenos Aires","","","2800","s/d","s/d","https://es-la.facebook.com/ZarateCineTeatroColiseo/","","-34.09752900000000000000","-59.02214500000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","300",""
"Cinemacenter Catamarca","Av. Guemes 850","San Fernando del Valle de Catamarca","Capital (Catamarca)","Catamarca","","","4700","s/d","s/d","http://www.cinemacenter.com.ar/","","-28.47586700000000000000","-65.77458100000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","5","914",""
"Cines Del Solar","Intendente Mamerto Medina 220","San Fernando del Valle de Catamarca","Capital (Catamarca)","Catamarca","","","4700","s/d","s/d","http://www.cinemacenter.com.ar/","","-28.46473700000000000000","-65.80067500000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","5","743",""
"Cinemacenter Avalos","Av. Avalos y Av. Lavalle","Resistencia","San Fernando (Chaco)","Chaco","","","3500","s/d","s/d","http://www.cinemacenter.com.ar/","","-27.43821400000000000000","-58.98703800000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","5","792",""
"Cinemacenter Resistencia","Av. Dr. Sabin y Av. Nicolas Avellaneda","Resistencia","San Fernando (Chaco)","Chaco","","","3500","s/d","s/d","http://www.cinemacenter.com.ar/","","-27.43874700000000000000","-58.98728500000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","3","690",""
"Los Cines De La Costa - Sarmiento","Av. Sarmiento 2600","Resistencia","San Fernando (Chaco)","Chaco","","","3500","s/d","s/d","http://resistencia.loscinesdelacosta.com.ar/","","-27.43099500000000000000","-58.96267200000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","5","820",""
"Cine Coliseo","San Martin 570","Comodoro Rivadavia","Escalante (Chubut)","Chubut","","","9000","s/d","s/d","http://www.cinecr.com.ar","","-45.86105700000000000000","-67.48258100000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","380",""
"Cine Teatro Español","San Martin 668","Comodoro Rivadavia","Escalante (Chubut)","Chubut","","","9000","s/d","s/d","http://www.cinecr.com.ar","","-45.86107100000000000000","-67.48407200000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","463",""
"Auditorio Municipal De Esquel","Belgrano 330","Esquel","Futaleufu (Chubut)","Chubut","","","9200","s/d","s/d","https://www.facebook.com/CulturaEsquel/","","-42.91433200000000000000","-71.33242000000000000000","","","INCAA / SInCA","Cine","Salas de cine","Público municipal","1","243",""
"Sociedad Italiana - Auditorium Puerto Madryn","28 De Julio 129","Puerto Madryn","Biedma (Chubut)","Chubut","","","9120","s/d","s/d","http://www.cinemadryn.com/","","-42.76625100000000000000","-65.03536900000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","2","486",""
"Centro Cultural Jose Hernandez","Dr. Jorge Galina S/N y Mitre","Rawson","Rawson (Chubut)","Chubut","","","9103","s/d","s/d","","Espacio INCAA","-43.29985800000000000000","-65.09948700000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","400",""
"Coliseo","Belgrano 375","Trelew","Rawson (Chubut)","Chubut","","Piso 1","9100","s/d","s/d","","","-43.25278400000000000000","-65.30766700000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","380",""
"Espacio INCAA Km 1460","9 De Julio 655","Trelew","Rawson (Chubut)","Chubut","","","9100","s/d","s/d","Facebook: Espacio INCAA Trelew","Espacio INCAA","-43.25346100000000000000","-65.31623100000000000000","","","INCAA / SInCA","Cine","Salas de cine","Público municipal","1","100",""
"Salon Municipal de Cine","28 De Julio 414","Trevelin","Futaleufu (Chubut)","Chubut","","","9203","s/d","s/d","","Espacio INCAA","-43.07951600000000000000","-71.46313500000000000000","","","INCAA / SInCA","Cine","Salas de cine","Público municipal","1","150",""
"Angeba","Lavalle 750","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","Loc 101","1047","s/d","s/d","","","-34.60248450000000000000","-58.37734380000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","4","100",""
"Arte Multiplex","Av. Cabildo 2829","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1428","s/d","s/d","https://www.multiplex.com.ar/","","-34.55597000000000000000","-58.46170500000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","5","792",""
"Atlas Caballito","Av. Rivadavia 5071","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1424","s/d","s/d","https://www.villagecines.com/","","-34.61858100000000000000","-58.43736700000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","9","1769",""
"Atlas La Rural","Juncal 4431","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1425","s/d","s/d","www.atlascines.com","","-34.57769580000000000000","-58.42110330000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","130",""
"Atlas Liniers","Ramón L. Falcón 7115","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1408","s/d","s/d","www.atlascines.com","","-34.64017480000000000000","-58.52667690000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","4","460",""
"Atlas Paseo Alcorta","Jeronimo Salguero 3172","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1425","s/d","s/d","cineatlasweb.com.ar","","-34.57538500000000000000","-58.40399700000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","3","432",""
"Atlas Patio Bullrich","Posadas 1245","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1001","s/d","s/d","cineatlasweb.com.ar","","-34.58809500000000000000","-58.38348500000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","3","585",""
"Atlas Rivera Indarte","Rivera Indarte 44","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1406","s/d","s/d","cineatlasweb.com.ar","","-34.62936800000000000000","-58.46252300000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","5","1263",""
"Belgrano Multiplex","Vuelta De Obligado 2238","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1428","s/d","s/d","https://www.multiplex.com.ar/","","-34.56050300000000000000","-58.45649900000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","8","2314",""
"Centro Cultural San Martín Sala 1 y 2","Sarmiento 1551","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","5 subsuelo","1042","s/d","s/d","https://elculturalsanmartin.ar/cine/","","-34.60501400000000000000","-58.38870910000000000000","","","INCAA / SInCA","Cine","Salas de cine","Público provincial","2","192",""
"Cine Amigos Del Bellas Artes","Av. Pte. Figueroa Alcorta 2280","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1425","s/d","s/d","https://www.facebook.com/amigosdelbellasartes","","-34.58351100000000000000","-58.39268600000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","235",""
"Cine Box","Laprida 1423","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1425","s/d","s/d","","","-34.59243500000000000000","-58.40584700000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","2","40",""
"Cine del Recuerdo","Av. Juan de Garay 1267","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1153","s/d","s/d","","","-34.62683600000000000000","-58.38366900000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","85",""
"Cine Popular HQ","Moreno 2654","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1094","s/d","s/d","https://www.facebook.com/CulturaATENac/","","-34.61353150000000000000","-58.40367140000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","158",""
"Cine San Francisco","Av. Gral. Paz 10652","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1408","s/d","s/d","","","-34.63990540000000000000","-58.52882460000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","40",""
"Cinema Devoto","Jose Pedro Varela 4866","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1417","s/d","s/d","https://cinemadevoto.com.ar/","","-34.61165800000000000000","-58.51692800000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","8","1908",""
"Cinemark Caballito","Av. La Plata 96","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1184","s/d","s/d","https://www.cinemarkhoyts.com.ar","","-34.61612800000000000000","-58.42899900000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","6","898",""
"Cinemark Palermo","Beruti 3399","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1425","s/d","s/d","https://www.cinemarkhoyts.com.ar","","-34.58656500000000000000","-58.41042100000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","10","1738",""
"Cinemark Puerto Madero","Av. Alicia M De Justo 1920","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1107","s/d","s/d","https://www.cinemarkhoyts.com.ar","","-34.62218600000000000000","-58.36528800000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","8","1379",""
"Cinepolis Recoleta","Vicente Lopez 2050","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1128","s/d","s/d","https://www.villagecines.com/","","-34.58922000000000000000","-58.39297600000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","10","1776",""
"Complejo Cultural 25 de Mayo","Av. Triunvirato 4444","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1431","s/d","s/d","https://cc25.org/","","-34.57633690000000000000","-58.48365250000000000000","","","INCAA / SInCA","Cine","Salas de cine","Público provincial","1","500",""
"Eden - Sala 2","Santa Fe 1825","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1123","s/d","s/d","","","-34.59583200000000000000","-58.39365500000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","30",""
"El Páramo Cultural","Carlos Calvo 3974","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1230","s/d","s/d","https://www.facebook.com/ParamoCultural/","","-34.62505480000000000000","-58.42150370000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","60",""
"Gaumont","Av. Rivadavia 1635","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1033","s/d","s/d","http://www.incaa.gov.ar/","Espacio INCAA","-34.60898000000000000000","-58.38964000000000000000","","","INCAA / SInCA","Cine","Salas de cine","Público nacional","3","1167",""
"Hoyts Abasto","Aguero 665","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1193","s/d","s/d","https://www.cinemarkhoyts.com.ar/","","-34.60348500000000000000","-58.41085300000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","12","3021",""
"Hoyts Panamericana","Melian 4880","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1430","s/d","s/d","https://www.cinemarkhoyts.com.ar/","","-34.54634400000000000000","-58.48843500000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","10","1918",""
"Leopoldo Lugones","Av. Corrientes 1530","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1042","s/d","s/d","https://complejoteatral.gob.ar/cine","","-34.60425800000000000000","-58.38839200000000000000","","","INCAA / SInCA","Cine","Salas de cine","Público provincial","1","212",""
"Lorca","Av. Corrientes 1428","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1042","s/d","s/d","http://cinelorca.wixsite.com/cine-lorca","","-34.60409100000000000000","-58.38682000000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","2","452",""
"Malba","Av. Figuero Alcorta 3415","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","Planta Baja","1425","s/d","s/d","http://www.malba.org.ar/","","-34.57727300000000000000","-58.40374700000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","224",""
"Monumental Lavalle","Lavalle 780","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1047","s/d","s/d","https://www.multiplex.com.ar/","","-34.60235800000000000000","-58.37780100000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","7","1270",""
"Nueva Victoria","Hipolito Yrigoyen 965","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1086","s/d","s/d","","","-34.60949110000000000000","-58.38004090000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","2","115",""
"Popular Ecuador","Ecuador 54","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1214","s/d","s/d","","","-34.60970950000000000000","-58.40902810000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","147",""
"Raúl González Tuñón","Av. Corrientes 1543","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1042","s/d","s/d","","","-34.60400920000000000000","-58.38854340000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","94",""
"Showcase Cinemas Belgrano","Monroe 1655","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1428","s/d","s/d","https://www.todoshowcase.com/","","-34.55387800000000000000","-58.45286800000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","10","2082",""
"UBA - Cosmos","Av. Corrientes 2046","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1045","s/d","s/d","https://www.facebook.com/pg/cinecosmos.uba/","","-34.60462900000000000000","-58.39619800000000000000","","","INCAA / SInCA","Cine","Salas de cine","Público nacional","2","190",""
"Yrigoyen","Hipolito Yrigoyen 945","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1086","s/d","s/d","","","-34.60937230000000000000","-58.37964190000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","2","64",""
"Microcine Centro Cultural Recoleta","Junin 1930","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1113","s/d","s/d","http://www.centroculturalrecoleta.org/","","-34.58675300000000000000","-58.39167200000000000000","","","INCAA / SInCA","Cine","Salas de cine","Público provincial","1","100",""
"Cinemacenter Alta Gracia","Belgrano 466","Alta Gracia","Santa Maria (Córdoba)","Córdoba","","","5186","s/d","s/d","https://www.cinemacenter.com.ar/","","-31.65843900000000000000","-64.42842280000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","3","431",""
